geneSymbol,diseaseId,diseaseName
SELENOI,C0008925,Cleft Palate
TSR2,C0008925,Cleft Palate
ACBD5,C0008925,Cleft Palate
AMER1,C0008925,Cleft Palate
KIF7,C0008925,Cleft Palate
BMP4,C0158646,Cleft palate with cleft lip
CDH1,C0158646,Cleft palate with cleft lip
DLG1,C0158646,Cleft palate with cleft lip
DLX4,C0158646,Cleft palate with cleft lip
IRF6,C0158646,Cleft palate with cleft lip
MSX1,C0158646,Cleft palate with cleft lip
NECTIN1,C0158646,Cleft palate with cleft lip
TP63,C0158646,Cleft palate with cleft lip
ARHGAP29,C0158646,Cleft palate with cleft lip
CBFB,C1837218,"Cleft palate, isolated"
CHUK,C1837218,"Cleft palate, isolated"
COL2A1,C1837218,"Cleft palate, isolated"
DLG1,C1837218,"Cleft palate, isolated"
EGF,C1837218,"Cleft palate, isolated"
FGF2,C1837218,"Cleft palate, isolated"
FGF3,C1837218,"Cleft palate, isolated"
FGF7,C1837218,"Cleft palate, isolated"
FGF8,C1837218,"Cleft palate, isolated"
FGF9,C1837218,"Cleft palate, isolated"
FGF10,C1837218,"Cleft palate, isolated"
FGFR1,C1837218,"Cleft palate, isolated"
FGFR3,C1837218,"Cleft palate, isolated"
FGFR2,C1837218,"Cleft palate, isolated"
IRF6,C1837218,"Cleft palate, isolated"
MNT,C1837218,"Cleft palate, isolated"
MSX1,C1837218,"Cleft palate, isolated"
MTR,C1837218,"Cleft palate, isolated"
MYC,C1837218,"Cleft palate, isolated"
NOS3,C1837218,"Cleft palate, isolated"
PDGFRA,C1837218,"Cleft palate, isolated"
PTCH1,C1837218,"Cleft palate, isolated"
RARG,C1837218,"Cleft palate, isolated"
RYK,C1837218,"Cleft palate, isolated"
SIM2,C1837218,"Cleft palate, isolated"
SLC19A1,C1837218,"Cleft palate, isolated"
TGFB1,C1837218,"Cleft palate, isolated"
TGFB2,C1837218,"Cleft palate, isolated"
TGFB3,C1837218,"Cleft palate, isolated"
TYMS,C1837218,"Cleft palate, isolated"
UBB,C1837218,"Cleft palate, isolated"
SUMO1,C1837218,"Cleft palate, isolated"
FZD4,C1837218,"Cleft palate, isolated"
CASK,C1837218,"Cleft palate, isolated"
TP63,C1837218,"Cleft palate, isolated"
SPRY2,C1837218,"Cleft palate, isolated"
MTHFS,C1837218,"Cleft palate, isolated"
SATB2,C1837218,"Cleft palate, isolated"
NEDD4L,C1837218,"Cleft palate, isolated"
BHMT2,C1837218,"Cleft palate, isolated"
BNC2,C1837218,"Cleft palate, isolated"
KIF7,C1837218,"Cleft palate, isolated"
KDM1A,C4225229,"CLEFT PALATE, PSYCHOMOTOR RETARDATION, AND DISTINCTIVE FACIAL FEATURES"
TBX22,C1844830,"CLEFT PALATE, X-LINKED"
UBB,C0432098,Cleft Soft Palate
GRHL3,C0432098,Cleft Soft Palate
ABCA4,C0008924,Cleft upper lip
BMP4,C0008924,Cleft upper lip
FGF2,C0008924,Cleft upper lip
FGF3,C0008924,Cleft upper lip
FGF7,C0008924,Cleft upper lip
FGF8,C0008924,Cleft upper lip
FGF9,C0008924,Cleft upper lip
FGF10,C0008924,Cleft upper lip
FGFR1,C0008924,Cleft upper lip
FGFR3,C0008924,Cleft upper lip
FGFR2,C0008924,Cleft upper lip
IRF6,C0008924,Cleft upper lip
MSX1,C0008924,Cleft upper lip
MTHFR,C0008924,Cleft upper lip
MTR,C0008924,Cleft upper lip
MYC,C0008924,Cleft upper lip
NOS3,C0008924,Cleft upper lip
PTCH1,C0008924,Cleft upper lip
NECTIN1,C0008924,Cleft upper lip
SLC19A1,C0008924,Cleft upper lip
TCN2,C0008924,Cleft upper lip
TFAP2A,C0008924,Cleft upper lip
TFAP2B,C0008924,Cleft upper lip
THAS,C0008924,Cleft upper lip
TYMS,C0008924,Cleft upper lip
SUMO1,C0008924,Cleft upper lip
TP63,C0008924,Cleft upper lip
MAFB,C0008924,Cleft upper lip
SPRY2,C0008924,Cleft upper lip
MTHFS,C0008924,Cleft upper lip
PHF8,C0008924,Cleft upper lip
BHMT2,C0008924,Cleft upper lip
TBX22,C0008924,Cleft upper lip
PLEKHA5,C0008924,Cleft upper lip
GRHL3,C0008924,Cleft upper lip
ESRP2,C0008924,Cleft upper lip
FBXO11,C0008924,Cleft upper lip
PLEKHA7,C0008924,Cleft upper lip
RSPO2,C0008924,Cleft upper lip
UBB,C0266122,Cleft uvula
GRHL3,C0266122,Cleft uvula
RUNX2,C0008928,Cleidocranial Dysplasia
RYR1,C0008928,Cleidocranial Dysplasia
FKBP5,C2362914,clinical depression
ITGAL,C2362914,clinical depression
MAOA,C2362914,clinical depression
NPY,C2362914,clinical depression
PRNP,C2362914,clinical depression
ATXN1,C2362914,clinical depression
IGF1,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
MAT1A,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
MBP,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
MOG,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
PMP22,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
PRRX1,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
TP53,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
SIRT1,C2350037,"Clinically Isolated Syndrome, CNS Demyelinating"
ABL1,C4551485,Clinodactyly
TFAP2A,C4551485,Clinodactyly
TFAP2B,C4551485,Clinodactyly
TBX22,C4551485,Clinodactyly
ABL1,C0265610,Clinodactyly of fingers
TFAP2A,C0265610,Clinodactyly of fingers
TFAP2B,C0265610,Clinodactyly of fingers
TBX22,C0265610,Clinodactyly of fingers
SOX4,C1850049,Clinodactyly of the 5th finger
ABAT,C0234535,Clonic Seizures
ACAT1,C0234535,Clonic Seizures
ACHE,C0234535,Clonic Seizures
ADCYAP1,C0234535,Clonic Seizures
ADORA2A,C0234535,Clonic Seizures
ADRA1B,C0234535,Clonic Seizures
AGT,C0234535,Clonic Seizures
ALAD,C0234535,Clonic Seizures
ALPL,C0234535,Clonic Seizures
APEX1,C0234535,Clonic Seizures
APOE,C0234535,Clonic Seizures
ATP7A,C0234535,Clonic Seizures
BCHE,C0234535,Clonic Seizures
BDNF,C0234535,Clonic Seizures
CAT,C0234535,Clonic Seizures
CCK,C0234535,Clonic Seizures
CHAT,C0234535,Clonic Seizures
CHRM1,C0234535,Clonic Seizures
CHRNA3,C0234535,Clonic Seizures
CHRNA4,C0234535,Clonic Seizures
CHRNA5,C0234535,Clonic Seizures
CHRNA7,C0234535,Clonic Seizures
CHRNB4,C0234535,Clonic Seizures
CLU,C0234535,Clonic Seizures
ABCC2,C0234535,Clonic Seizures
CNR1,C0234535,Clonic Seizures
CRH,C0234535,Clonic Seizures
CYP11A1,C0234535,Clonic Seizures
DRD1,C0234535,Clonic Seizures
DRD2,C0234535,Clonic Seizures
DRD3,C0234535,Clonic Seizures
FAAH,C0234535,Clonic Seizures
FGF2,C0234535,Clonic Seizures
FOXG1,C0234535,Clonic Seizures
FOS,C0234535,Clonic Seizures
GABRA5,C0234535,Clonic Seizures
GAD2,C0234535,Clonic Seizures
GAMT,C0234535,Clonic Seizures
GNB3,C0234535,Clonic Seizures
GRIK1,C0234535,Clonic Seizures
HTR1A,C0234535,Clonic Seizures
HTR1B,C0234535,Clonic Seizures
IDH2,C0234535,Clonic Seizures
IFNB1,C0234535,Clonic Seizures
IL1B,C0234535,Clonic Seizures
IL6,C0234535,Clonic Seizures
IMPA1,C0234535,Clonic Seizures
INS,C0234535,Clonic Seizures
KCNA2,C0234535,Clonic Seizures
KCNJ11,C0234535,Clonic Seizures
KCNQ2,C0234535,Clonic Seizures
LEP,C0234535,Clonic Seizures
LETM1,C0234535,Clonic Seizures
MECP2,C0234535,Clonic Seizures
MT3,C0234535,Clonic Seizures
NGF,C0234535,Clonic Seizures
NGFR,C0234535,Clonic Seizures
NOS1,C0234535,Clonic Seizures
NOS2,C0234535,Clonic Seizures
NPY,C0234535,Clonic Seizures
OPRK1,C0234535,Clonic Seizures
OPRM1,C0234535,Clonic Seizures
OXT,C0234535,Clonic Seizures
PAM,C0234535,Clonic Seizures
PDYN,C0234535,Clonic Seizures
POLG,C0234535,Clonic Seizures
POMC,C0234535,Clonic Seizures
PRKCD,C0234535,Clonic Seizures
PTGS2,C0234535,Clonic Seizures
PVALB,C0234535,Clonic Seizures
REST,C0234535,Clonic Seizures
SLC1A1,C0234535,Clonic Seizures
SLC2A1,C0234535,Clonic Seizures
SLC6A1,C0234535,Clonic Seizures
SLC6A2,C0234535,Clonic Seizures
SLC8A1,C0234535,Clonic Seizures
SLC8A3,C0234535,Clonic Seizures
SOD2,C0234535,Clonic Seizures
SST,C0234535,Clonic Seizures
SSTR2,C0234535,Clonic Seizures
CDKL5,C0234535,Clonic Seizures
SYN2,C0234535,Clonic Seizures
TBCD,C0234535,Clonic Seizures
TCF4,C0234535,Clonic Seizures
TRH,C0234535,Clonic Seizures
TSC1,C0234535,Clonic Seizures
TSC2,C0234535,Clonic Seizures
SLC30A1,C0234535,Clonic Seizures
MPDZ,C0234535,Clonic Seizures
NRP2,C0234535,Clonic Seizures
SIGMAR1,C0234535,Clonic Seizures
PNKP,C0234535,Clonic Seizures
GHRL,C0234535,Clonic Seizures
RBFOX1,C0234535,Clonic Seizures
CNNM2,C0234535,Clonic Seizures
PLPPR1,C0234535,Clonic Seizures
SLC17A7,C0234535,Clonic Seizures
SLC12A5,C0234535,Clonic Seizures
MIB1,C0234535,Clonic Seizures
PIGM,C0234535,Clonic Seizures
HCN1,C0234535,Clonic Seizures
ERF,C1860050,Cloverleaf skull
MED13,C0520947,Clumsiness - motor delay
MED12L,C0520947,Clumsiness - motor delay
GRIN2A,C0009090,Cluttering
TTPA,C0009090,Cluttering
MFSD2A,C0009090,Cluttering
EPO,C0007682,CNS disorder
IDH2,C0007682,CNS disorder
IL17A,C0007682,CNS disorder
SOD2,C0007682,CNS disorder
RPGRIP1L,C1857662,COACH syndrome
INPP5E,C1857662,COACH syndrome
CC2D2A,C1857662,COACH syndrome
TMEM67,C1857662,COACH syndrome
ACHE,C0234374,Coarse Tremor
ADORA2A,C0234374,Coarse Tremor
ADRB2,C0234374,Coarse Tremor
ATP7A,C0234374,Coarse Tremor
CHRM4,C0234374,Coarse Tremor
CYP2D6,C0234374,Coarse Tremor
HTR1A,C0234374,Coarse Tremor
SCN8A,C0234374,Coarse Tremor
TRH,C0234374,Coarse Tremor
POMT1,C0431376,Cobblestone Lissencephaly
POMT2,C0431376,Cobblestone Lissencephaly
TMTC3,C0431376,Cobblestone Lissencephaly
ADRA1A,C0009171,Cocaine Abuse
RHOA,C0009171,Cocaine Abuse
BCHE,C0009171,Cocaine Abuse
BDNF,C0009171,Cocaine Abuse
CALM1,C0009171,Cocaine Abuse
CALM2,C0009171,Cocaine Abuse
CAMK4,C0009171,Cocaine Abuse
CAMK2A,C0009171,Cocaine Abuse
CAMK2B,C0009171,Cocaine Abuse
RUNX2,C0009171,Cocaine Abuse
CCKBR,C0009171,Cocaine Abuse
SCARB1,C0009171,Cocaine Abuse
CES1,C0009171,Cocaine Abuse
CHRM5,C0009171,Cocaine Abuse
CHRNA4,C0009171,Cocaine Abuse
CNR1,C0009171,Cocaine Abuse
COMT,C0009171,Cocaine Abuse
CREB1,C0009171,Cocaine Abuse
CRH,C0009171,Cocaine Abuse
CRHBP,C0009171,Cocaine Abuse
CRHR1,C0009171,Cocaine Abuse
CRHR2,C0009171,Cocaine Abuse
DECR1,C0009171,Cocaine Abuse
DNAH8,C0009171,Cocaine Abuse
DRD1,C0009171,Cocaine Abuse
DRD2,C0009171,Cocaine Abuse
DRD3,C0009171,Cocaine Abuse
EGR1,C0009171,Cocaine Abuse
ESR2,C0009171,Cocaine Abuse
FDFT1,C0009171,Cocaine Abuse
FGF2,C0009171,Cocaine Abuse
FOS,C0009171,Cocaine Abuse
FOSB,C0009171,Cocaine Abuse
GABBR1,C0009171,Cocaine Abuse
GABRA2,C0009171,Cocaine Abuse
GABRG2,C0009171,Cocaine Abuse
GAD1,C0009171,Cocaine Abuse
GAD2,C0009171,Cocaine Abuse
GDNF,C0009171,Cocaine Abuse
GRIA1,C0009171,Cocaine Abuse
GRIA2,C0009171,Cocaine Abuse
GRIN1,C0009171,Cocaine Abuse
NR3C1,C0009171,Cocaine Abuse
GRM5,C0009171,Cocaine Abuse
HCRT,C0009171,Cocaine Abuse
HCRTR1,C0009171,Cocaine Abuse
HTR1A,C0009171,Cocaine Abuse
HTR1B,C0009171,Cocaine Abuse
HTR2A,C0009171,Cocaine Abuse
HTR2C,C0009171,Cocaine Abuse
ILK,C0009171,Cocaine Abuse
JUND,C0009171,Cocaine Abuse
SMAD1,C0009171,Cocaine Abuse
SMAD3,C0009171,Cocaine Abuse
SMAD5,C0009171,Cocaine Abuse
MECP2,C0009171,Cocaine Abuse
NGF,C0009171,Cocaine Abuse
NPY,C0009171,Cocaine Abuse
NPY2R,C0009171,Cocaine Abuse
NRGN,C0009171,Cocaine Abuse
NTRK2,C0009171,Cocaine Abuse
NR4A2,C0009171,Cocaine Abuse
OPRK1,C0009171,Cocaine Abuse
OPRM1,C0009171,Cocaine Abuse
PDYN,C0009171,Cocaine Abuse
PITX3,C0009171,Cocaine Abuse
PLP1,C0009171,Cocaine Abuse
POMC,C0009171,Cocaine Abuse
MAPK1,C0009171,Cocaine Abuse
MAPK3,C0009171,Cocaine Abuse
PRL,C0009171,Cocaine Abuse
SLC1A2,C0009171,Cocaine Abuse
SLC6A3,C0009171,Cocaine Abuse
SLC6A4,C0009171,Cocaine Abuse
SMARCA4,C0009171,Cocaine Abuse
SNCA,C0009171,Cocaine Abuse
TACR3,C0009171,Cocaine Abuse
TYK2,C0009171,Cocaine Abuse
RECK,C0009171,Cocaine Abuse
CES2,C0009171,Cocaine Abuse
RPS6KA5,C0009171,Cocaine Abuse
HOMER2,C0009171,Cocaine Abuse
HOMER1,C0009171,Cocaine Abuse
CARTPT,C0009171,Cocaine Abuse
HDAC4,C0009171,Cocaine Abuse
HDAC5,C0009171,Cocaine Abuse
GPHN,C0009171,Cocaine Abuse
SIGMAR1,C0009171,Cocaine Abuse
EHMT2,C0009171,Cocaine Abuse
ARC,C0009171,Cocaine Abuse
APOL2,C0009171,Cocaine Abuse
GPSM1,C0009171,Cocaine Abuse
AGO2,C0009171,Cocaine Abuse
KLHL5,C0009171,Cocaine Abuse
GHRL,C0009171,Cocaine Abuse
PRMT6,C0009171,Cocaine Abuse
TENM3,C0009171,Cocaine Abuse
SMURF1,C0009171,Cocaine Abuse
LRRC7,C0009171,Cocaine Abuse
SYT13,C0009171,Cocaine Abuse
GCC1,C0009171,Cocaine Abuse
ICE2,C0009171,Cocaine Abuse
MANEA,C0009171,Cocaine Abuse
SRCIN1,C0009171,Cocaine Abuse
COL21A1,C0009171,Cocaine Abuse
ANKK1,C0009171,Cocaine Abuse
ATP9B,C0009171,Cocaine Abuse
CCSER1,C0009171,Cocaine Abuse
MIR130A,C0009171,Cocaine Abuse
MIR136,C0009171,Cocaine Abuse
MIR137,C0009171,Cocaine Abuse
MIR138-1,C0009171,Cocaine Abuse
MIR154,C0009171,Cocaine Abuse
MIR186,C0009171,Cocaine Abuse
MIR212,C0009171,Cocaine Abuse
MIR181A1,C0009171,Cocaine Abuse
MIR148B,C0009171,Cocaine Abuse
MIR324,C0009171,Cocaine Abuse
MIR337,C0009171,Cocaine Abuse
MIR376C,C0009171,Cocaine Abuse
MIR369,C0009171,Cocaine Abuse
MIR380,C0009171,Cocaine Abuse
MIR384,C0009171,Cocaine Abuse
MIR488,C0009171,Cocaine Abuse
NPS,C0009171,Cocaine Abuse
MIR665,C0009171,Cocaine Abuse
MIR301B,C0009171,Cocaine Abuse
ADRA1A,C0600427,Cocaine Dependence
RHOA,C0600427,Cocaine Dependence
AVP,C0600427,Cocaine Dependence
BCHE,C0600427,Cocaine Dependence
BDNF,C0600427,Cocaine Dependence
CALM1,C0600427,Cocaine Dependence
CALM2,C0600427,Cocaine Dependence
CAMK4,C0600427,Cocaine Dependence
CAMK2A,C0600427,Cocaine Dependence
CAMK2B,C0600427,Cocaine Dependence
RUNX2,C0600427,Cocaine Dependence
CCKBR,C0600427,Cocaine Dependence
SCARB1,C0600427,Cocaine Dependence
CDK5,C0600427,Cocaine Dependence
CES1,C0600427,Cocaine Dependence
CHRM5,C0600427,Cocaine Dependence
CHRNA3,C0600427,Cocaine Dependence
CHRNA5,C0600427,Cocaine Dependence
CHRNB3,C0600427,Cocaine Dependence
CHRNB4,C0600427,Cocaine Dependence
CNR1,C0600427,Cocaine Dependence
COMT,C0600427,Cocaine Dependence
CREB1,C0600427,Cocaine Dependence
CRH,C0600427,Cocaine Dependence
CRHBP,C0600427,Cocaine Dependence
CRHR1,C0600427,Cocaine Dependence
CRHR2,C0600427,Cocaine Dependence
DBH,C0600427,Cocaine Dependence
DNAH8,C0600427,Cocaine Dependence
DRD1,C0600427,Cocaine Dependence
DRD2,C0600427,Cocaine Dependence
DRD3,C0600427,Cocaine Dependence
EGR1,C0600427,Cocaine Dependence
ESR2,C0600427,Cocaine Dependence
FDFT1,C0600427,Cocaine Dependence
FGF2,C0600427,Cocaine Dependence
FOS,C0600427,Cocaine Dependence
FOSB,C0600427,Cocaine Dependence
GABBR1,C0600427,Cocaine Dependence
GABRA2,C0600427,Cocaine Dependence
GABRG2,C0600427,Cocaine Dependence
GAD1,C0600427,Cocaine Dependence
GAD2,C0600427,Cocaine Dependence
GALR1,C0600427,Cocaine Dependence
GDNF,C0600427,Cocaine Dependence
GRIA1,C0600427,Cocaine Dependence
GRIA2,C0600427,Cocaine Dependence
GRIN1,C0600427,Cocaine Dependence
NR3C1,C0600427,Cocaine Dependence
GRM5,C0600427,Cocaine Dependence
GSTP1,C0600427,Cocaine Dependence
HCRT,C0600427,Cocaine Dependence
HCRTR1,C0600427,Cocaine Dependence
HTR1A,C0600427,Cocaine Dependence
HTR1B,C0600427,Cocaine Dependence
HTR2A,C0600427,Cocaine Dependence
ILK,C0600427,Cocaine Dependence
JUND,C0600427,Cocaine Dependence
SMAD1,C0600427,Cocaine Dependence
SMAD3,C0600427,Cocaine Dependence
SMAD5,C0600427,Cocaine Dependence
MAOA,C0600427,Cocaine Dependence
MC4R,C0600427,Cocaine Dependence
MECP2,C0600427,Cocaine Dependence
NGF,C0600427,Cocaine Dependence
NPY,C0600427,Cocaine Dependence
NPY2R,C0600427,Cocaine Dependence
NSF,C0600427,Cocaine Dependence
NTRK2,C0600427,Cocaine Dependence
OPRD1,C0600427,Cocaine Dependence
OPRK1,C0600427,Cocaine Dependence
OPRM1,C0600427,Cocaine Dependence
PDYN,C0600427,Cocaine Dependence
POMC,C0600427,Cocaine Dependence
MAPK1,C0600427,Cocaine Dependence
MAPK3,C0600427,Cocaine Dependence
PRL,C0600427,Cocaine Dependence
SNORD15A,C0600427,Cocaine Dependence
SLC1A2,C0600427,Cocaine Dependence
SLC6A3,C0600427,Cocaine Dependence
SLC6A4,C0600427,Cocaine Dependence
SLC18A2,C0600427,Cocaine Dependence
SMARCA4,C0600427,Cocaine Dependence
SNCA,C0600427,Cocaine Dependence
TACR3,C0600427,Cocaine Dependence
TYK2,C0600427,Cocaine Dependence
CES2,C0600427,Cocaine Dependence
PER2,C0600427,Cocaine Dependence
RPS6KA5,C0600427,Cocaine Dependence
HOMER2,C0600427,Cocaine Dependence
HOMER1,C0600427,Cocaine Dependence
CLOCK,C0600427,Cocaine Dependence
CARTPT,C0600427,Cocaine Dependence
FAM53B,C0600427,Cocaine Dependence
HDAC4,C0600427,Cocaine Dependence
HDAC5,C0600427,Cocaine Dependence
GPHN,C0600427,Cocaine Dependence
SIGMAR1,C0600427,Cocaine Dependence
EHMT2,C0600427,Cocaine Dependence
ARC,C0600427,Cocaine Dependence
NCS1,C0600427,Cocaine Dependence
APOL2,C0600427,Cocaine Dependence
GPSM1,C0600427,Cocaine Dependence
AGO2,C0600427,Cocaine Dependence
KLHL5,C0600427,Cocaine Dependence
GHRL,C0600427,Cocaine Dependence
PRMT6,C0600427,Cocaine Dependence
TENM3,C0600427,Cocaine Dependence
SMURF1,C0600427,Cocaine Dependence
LRRC7,C0600427,Cocaine Dependence
SYT13,C0600427,Cocaine Dependence
GCC1,C0600427,Cocaine Dependence
ICE2,C0600427,Cocaine Dependence
MANEA,C0600427,Cocaine Dependence
SRCIN1,C0600427,Cocaine Dependence
COL21A1,C0600427,Cocaine Dependence
TPH2,C0600427,Cocaine Dependence
ANKK1,C0600427,Cocaine Dependence
ATP9B,C0600427,Cocaine Dependence
CCSER1,C0600427,Cocaine Dependence
MIR130A,C0600427,Cocaine Dependence
MIR136,C0600427,Cocaine Dependence
MIR137,C0600427,Cocaine Dependence
MIR138-1,C0600427,Cocaine Dependence
MIR154,C0600427,Cocaine Dependence
MIR186,C0600427,Cocaine Dependence
MIR212,C0600427,Cocaine Dependence
MIR181A1,C0600427,Cocaine Dependence
MIR148B,C0600427,Cocaine Dependence
MIR324,C0600427,Cocaine Dependence
MIR337,C0600427,Cocaine Dependence
MIR376C,C0600427,Cocaine Dependence
MIR369,C0600427,Cocaine Dependence
MIR380,C0600427,Cocaine Dependence
MIR384,C0600427,Cocaine Dependence
MIR488,C0600427,Cocaine Dependence
NPS,C0600427,Cocaine Dependence
MIR665,C0600427,Cocaine Dependence
MIR301B,C0600427,Cocaine Dependence
ADRA1A,C3496069,cocaine use
CHRNB3,C3496069,cocaine use
CYP11A1,C3496069,cocaine use
DNMT3A,C3496069,cocaine use
GRIK1,C3496069,cocaine use
HSPA4,C3496069,cocaine use
SCN1A,C3496069,cocaine use
TFAP2C,C3496069,cocaine use
CHRNA6,C3496069,cocaine use
CLOCK,C3496069,cocaine use
STARD3,C3496069,cocaine use
AVP,C0009178,Cocaine withdrawal
HSP90AA1,C0009178,Cocaine withdrawal
C20orf181,C0009178,Cocaine withdrawal
SLC18A2,C0236701,Cocaine-induced mood disorder
RHOA,C0236736,Cocaine-Related Disorders
BCHE,C0236736,Cocaine-Related Disorders
BDNF,C0236736,Cocaine-Related Disorders
CALM1,C0236736,Cocaine-Related Disorders
CALM2,C0236736,Cocaine-Related Disorders
CAMK4,C0236736,Cocaine-Related Disorders
CAMK2A,C0236736,Cocaine-Related Disorders
CAMK2B,C0236736,Cocaine-Related Disorders
RUNX2,C0236736,Cocaine-Related Disorders
CCKBR,C0236736,Cocaine-Related Disorders
SCARB1,C0236736,Cocaine-Related Disorders
CES1,C0236736,Cocaine-Related Disorders
CHRM5,C0236736,Cocaine-Related Disorders
CNR1,C0236736,Cocaine-Related Disorders
COMT,C0236736,Cocaine-Related Disorders
CREB1,C0236736,Cocaine-Related Disorders
CRH,C0236736,Cocaine-Related Disorders
CRHBP,C0236736,Cocaine-Related Disorders
CRHR1,C0236736,Cocaine-Related Disorders
CRHR2,C0236736,Cocaine-Related Disorders
DNAH8,C0236736,Cocaine-Related Disorders
DRD1,C0236736,Cocaine-Related Disorders
DRD2,C0236736,Cocaine-Related Disorders
DRD3,C0236736,Cocaine-Related Disorders
EGR1,C0236736,Cocaine-Related Disorders
ESR2,C0236736,Cocaine-Related Disorders
FDFT1,C0236736,Cocaine-Related Disorders
FGF2,C0236736,Cocaine-Related Disorders
FOS,C0236736,Cocaine-Related Disorders
FOSB,C0236736,Cocaine-Related Disorders
GABBR1,C0236736,Cocaine-Related Disorders
GABRA2,C0236736,Cocaine-Related Disorders
GABRG2,C0236736,Cocaine-Related Disorders
GAD1,C0236736,Cocaine-Related Disorders
GAD2,C0236736,Cocaine-Related Disorders
GDNF,C0236736,Cocaine-Related Disorders
GRIA1,C0236736,Cocaine-Related Disorders
GRIA2,C0236736,Cocaine-Related Disorders
GRIN1,C0236736,Cocaine-Related Disorders
NR3C1,C0236736,Cocaine-Related Disorders
GRM5,C0236736,Cocaine-Related Disorders
HCRT,C0236736,Cocaine-Related Disorders
HCRTR1,C0236736,Cocaine-Related Disorders
HTR1A,C0236736,Cocaine-Related Disorders
HTR1B,C0236736,Cocaine-Related Disorders
HTR2A,C0236736,Cocaine-Related Disorders
ILK,C0236736,Cocaine-Related Disorders
JUND,C0236736,Cocaine-Related Disorders
SMAD1,C0236736,Cocaine-Related Disorders
SMAD3,C0236736,Cocaine-Related Disorders
SMAD5,C0236736,Cocaine-Related Disorders
MECP2,C0236736,Cocaine-Related Disorders
NGF,C0236736,Cocaine-Related Disorders
NPY,C0236736,Cocaine-Related Disorders
NPY2R,C0236736,Cocaine-Related Disorders
NTRK2,C0236736,Cocaine-Related Disorders
OPRK1,C0236736,Cocaine-Related Disorders
OPRM1,C0236736,Cocaine-Related Disorders
PDYN,C0236736,Cocaine-Related Disorders
POMC,C0236736,Cocaine-Related Disorders
MAPK1,C0236736,Cocaine-Related Disorders
MAPK3,C0236736,Cocaine-Related Disorders
PRL,C0236736,Cocaine-Related Disorders
SLC1A2,C0236736,Cocaine-Related Disorders
SLC6A3,C0236736,Cocaine-Related Disorders
SLC6A4,C0236736,Cocaine-Related Disorders
SMARCA4,C0236736,Cocaine-Related Disorders
SNCA,C0236736,Cocaine-Related Disorders
TACR3,C0236736,Cocaine-Related Disorders
TYK2,C0236736,Cocaine-Related Disorders
CES2,C0236736,Cocaine-Related Disorders
RPS6KA5,C0236736,Cocaine-Related Disorders
HOMER2,C0236736,Cocaine-Related Disorders
HOMER1,C0236736,Cocaine-Related Disorders
CARTPT,C0236736,Cocaine-Related Disorders
HDAC4,C0236736,Cocaine-Related Disorders
HDAC5,C0236736,Cocaine-Related Disorders
GPHN,C0236736,Cocaine-Related Disorders
SIGMAR1,C0236736,Cocaine-Related Disorders
EHMT2,C0236736,Cocaine-Related Disorders
ARC,C0236736,Cocaine-Related Disorders
APOL2,C0236736,Cocaine-Related Disorders
GPSM1,C0236736,Cocaine-Related Disorders
AGO2,C0236736,Cocaine-Related Disorders
KLHL5,C0236736,Cocaine-Related Disorders
GHRL,C0236736,Cocaine-Related Disorders
PRMT6,C0236736,Cocaine-Related Disorders
TENM3,C0236736,Cocaine-Related Disorders
SMURF1,C0236736,Cocaine-Related Disorders
LRRC7,C0236736,Cocaine-Related Disorders
SYT13,C0236736,Cocaine-Related Disorders
GCC1,C0236736,Cocaine-Related Disorders
ICE2,C0236736,Cocaine-Related Disorders
MANEA,C0236736,Cocaine-Related Disorders
SRCIN1,C0236736,Cocaine-Related Disorders
COL21A1,C0236736,Cocaine-Related Disorders
ATP9B,C0236736,Cocaine-Related Disorders
CCSER1,C0236736,Cocaine-Related Disorders
MIR130A,C0236736,Cocaine-Related Disorders
MIR136,C0236736,Cocaine-Related Disorders
MIR137,C0236736,Cocaine-Related Disorders
MIR138-1,C0236736,Cocaine-Related Disorders
MIR154,C0236736,Cocaine-Related Disorders
MIR186,C0236736,Cocaine-Related Disorders
MIR212,C0236736,Cocaine-Related Disorders
MIR181A1,C0236736,Cocaine-Related Disorders
MIR148B,C0236736,Cocaine-Related Disorders
MIR324,C0236736,Cocaine-Related Disorders
MIR337,C0236736,Cocaine-Related Disorders
MIR376C,C0236736,Cocaine-Related Disorders
MIR369,C0236736,Cocaine-Related Disorders
MIR380,C0236736,Cocaine-Related Disorders
MIR384,C0236736,Cocaine-Related Disorders
MIR488,C0236736,Cocaine-Related Disorders
NPS,C0236736,Cocaine-Related Disorders
MIR665,C0236736,Cocaine-Related Disorders
MIR301B,C0236736,Cocaine-Related Disorders
MPV17,C0009197,Cochlear Diseases
PCDH15,C0009197,Cochlear Diseases
ERCC8,C0009207,Cockayne Syndrome
ERCC6,C0009207,Cockayne Syndrome
SPRTN,C0009207,Cockayne Syndrome
ERCC8,C0751039,"Cockayne Syndrome, Type I"
ERCC4,C0751039,"Cockayne Syndrome, Type I"
